;Lycopodiophyta;Pteridophyta;Gymnospermae;Angiospermae;Magnoliopsida;Liliopsida;Woody;Herbal;Tree;Shrub;Small_shrub;Semi-shrub;Liana;Prostrate;Perennial;Annual-biennal
Diphasiastrum.alpinum;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Diphasiastrum.complanatum;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Diphasiastrum.sitchense;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Huperzia.miyoshiana;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Huperzia.petrovii;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Huperzia.selago;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Huperzia.serrata;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Lycopodium.annotinum;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Lycopodium.clavatum;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Lycopodium.dubium;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Lycopodium.juniperoideum;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Lycopodium.obscurum;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Lycopodium.subarcticum;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Selaginella.helvetica;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Selaginella.selaginoides;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Selaginella.shakotanensis;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Isoetes.asiatica;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Psilotum.nudum;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Equisetum.arvense;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Equisetum.fluviatile;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Equisetum.hyemale;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Equisetum.palustre;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Equisetum.pratense;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Equisetum.sylvaticum;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Equisetum.variegatum;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Botrychium.boreale;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Botrychium.lanceolatum;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Botrychium.lunaria;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Botrychium.robustum;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Ophioglossum.thermale;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Ophioglossum.vulgatum;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Osmunda.japonica;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Osmundastrum.asiaticum;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Plagiogyria.matsumureana;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Adiantum.pedatum;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Coniogramme.intermedia;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Cryptogramma.gorovoii;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Arachniodes.miqueliana;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Arachniodes.mutica;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Dryopteris.crassirhizoma;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Dryopteris.expansa;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Dryopteris.fragrans;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Dryopteris.fragrantiformis;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Dryopteris.monticola;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Lepisorus.thunbergianus;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Lepisorus.ussuriensis;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Polypodium.fauriei;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Polypodium.sibiricum;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Polypodium.vulgare;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Polystichum.braunii;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Polystichum.lonchitis;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Polystichum.microchlamys;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Polystichum.tripteron;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Pteridium.aquilinum;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Hymenophyllum.wrightii;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Trichomanes.birmanicum;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Asplenium.incisum;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Athyrium.americanum;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Athyrium.cyclosorum;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Athyrium.filix-femina;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Athyrium.nikkoense;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Athyrium.rupestre;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Athyrium.sinense;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Athyrium.vidalii;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Athyrium.wardii;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Athyrium.yokoscense;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Cystopteris.fragilis;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Deparia.japonica;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Deparia.pterorachis;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Deparia.pycnosora;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Gymnocarpium.dryopteris;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Phyllitis.japonica;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Matteuccia.struthiopteris;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Onoclea.orientalis;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Onoclea.sensibilis;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Woodsia.polystichoides;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Woodsia.subintermedia;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Phegopteris.connectilis;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Thelypteris.nipponica;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Thelypteris.quelpartensis;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Thelypteris.thelipterioides;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Blechnum.hancockii;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Abies.sachalinensis;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0
Larix.kurilensis;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0
Picea.glehnii;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0
Picea.jezoensis;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0
Pinus.parviflora;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0
Pinus.pumila;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0
Juniperus.sargentii;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;0
Juniperus.sibirica;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;0
Taxus.cuspidata;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0
Magnolia.obovata;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
Schisandra.chinensis;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0
Chloranthus.quadrifolius;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Chloranthus.serratus;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Asarum.heterotropoides;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Nuphar.pumila;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Nymphaea.tetragona;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Ceratophyllum.demersum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Cercidiphyllum.japonicum;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
Caulophyllum.robustum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Diphylleia.grayi;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Aconitum.kunasilense;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Aconitum.kurilense;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Aconitum.maximum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Aconitum.sachalinense;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Actaea.rubra;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Adonis.amurensis;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Adonis.ramosa;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Anemonastrum.dichotomum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Anemonastrum.flaccidum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Anemonastrum.sibiricum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Anemonastrum.villosissimum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Anemonoides.debilis;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Anemonoides.sciaphila;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Aquilegia.flabellata;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Caltha.fistulosa;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Caltha.membranacea;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Caltha.palustris;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Cimicifuga.simplex;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Clematis.fusca;0;0;0;1;1;0;0;1;0;0;0;0;1;0;1;0
Clematis.ochotensis;0;0;0;1;1;0;1;0;0;0;0;0;1;0;1;0
Coptis.trifolia;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Delphinium.brachycentrum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Pulsatilla.taraoi;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Ranunculus.ashibetsuensis;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Ranunculus.confervoides;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Ranunculus.eschscholtzii;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Ranunculus.hultenii;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Ranunculus.hyperboreus;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Ranunculus.kauffmannii;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Ranunculus.monophyllus;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Ranunculus.nipponicus;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Ranunculus.nivalis;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Ranunculus.novus;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Ranunculus.pallasii;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Ranunculus.pygmaeus;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Ranunculus.repens;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Ranunculus.reptans;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Ranunculus.sceleratus;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Ranunculus.silerifolius;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Ranunculus.subcorymbosus;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Ranunculus.sulphureus;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Ranunculus.trichophyllus;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Thalictrum.alpinum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Thalictrum.baicalense;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Thalictrum.minus;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Thalictrum.sachalinense;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Thalictrum.yesoense;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Trautvetteria.palmata;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Trollius.japonicus;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Trollius.riederianus;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Chelidonium.asiaticum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Corydalis.ambigua;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Corydalis.arctica;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Corydalis.kushiroensis;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Corydalis.pallida;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1
Dicentra.peregrina;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Papaver.alboroseum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Papaver.microcarpum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Papaver.miyabeanum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Daphniphyllum.macropodum;0;0;0;1;1;0;1;0;0;1;0;0;0;0;1;0
Ulmus.japonica;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
Ulmus.laciniata;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
Zelkova.serrata;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
Morus.indica;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
Humulus.cordifolius;0;0;0;1;1;0;0;1;0;0;0;0;1;0;1;0
Boehmeria.japonica;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Laportea.bulbifera;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Pilea.hamaoi;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1
Pilea.mongolica;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1
Urtica.platyphylla;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Quercus.crispula;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
Quercus.dentata;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
Alnus.hirsuta;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
Alnus.japonica;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
Betula.ermanii;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
Betula.glandulosa;0;0;0;1;1;0;1;0;0;1;0;0;0;0;1;0
Betula.maximowicziana;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
Betula.platyphylla;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
Betula.paramushirensis;0;0;0;1;1;0;1;0;0;1;0;0;0;0;1;0
Duschekia.fruticosa;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0
Duschekia.maximowiczii;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0
Myrica.gale;0;0;0;1;1;0;1;0;0;1;0;0;0;0;1;0
Juglans.ailantifolia;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
Arenaria.merckioides;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Cerastium.aleuticum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Cerastium.beeringianum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Cerastium.fischerianum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Cerastium.tatewakii;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Cerastium.unalaschkense;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Cherleria.barkalovii;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Cucubalus.japonicus;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Dianthus.superbus;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Gastrolychnis.attenuata;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Honckenya.oblongifolia;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Moehringia.lateriflora;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Pseudocherleria.kurilensis;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Sagina.crassicaulis;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Sagina.japonica;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1
Sagina.maxima;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Sagina.nivalis;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Sagina.saginoides;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Silene.repens;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Spergularia.marina;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1
Stellaria.alsine;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1
Stellaria.bungeana;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Stellaria.calycantha;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Stellaria.crassifolia;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Stellaria.eschscholtziana;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Stellaria.fenzlii;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Stellaria.humifusa;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Stellaria.longifolia;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Stellaria.radians;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Stellaria.ruscifolia;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Atriplex.gmelinii;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1
Atriplex.laevis;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1
Atriplex.subcordata;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1
Oxybasis.glauca;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1
Salicornia.perennans;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1
Salsola.komarovii;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1
Montia.fontana;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1
Aconogonon.ajanense;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Aconogonon.pseudoajanense;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Aconogonon.savatieri;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Aconogonon.weyrichii;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Bistorta.vivipara;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Fallopia.dumetorum;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;1
Koenigia.islandica;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Oxyria.digyna;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Persicaria.amphibia;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Persicaria.extremiorientalis;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1
Persicaria.filiformis;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Persicaria.hydropiper;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1
Persicaria.lapathifolia;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1
Persicaria.longiseta;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1
Persicaria.nepalensis;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1
Persicaria.posumbu;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
Persicaria.sagittata;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1
Persicaria.thunbergii;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1
Polygonum.arenastrum;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1
Polygonum.aviculare;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1
Polygonum.boreale;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1
